Class;Order;Family;Genus;Species
Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces graevenitzii
Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;Pauljensenia sp000411415
Actinomycetia;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis
Actinomycetia;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium breve
Actinomycetia;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium vaginale
Actinomycetia;Actinomycetales;Micrococcaceae;Rothia;Rothia
Actinomycetia;Actinomycetales;Micrococcaceae;Rothia;Rothia mucilaginosa_A
Actinomycetia;Actinomycetales;Micrococcaceae;Rothia;Rothia sp902373285
Actinomycetia;Mycobacteriales;Mycobacteriaceae;Corynebacterium;Corynebacterium accolens
Actinomycetia;Mycobacteriales;Mycobacteriaceae;Corynebacterium;Corynebacterium pseudodiphtheriticum
Actinomycetia;Mycobacteriales;Mycobacteriaceae;Corynebacterium;Corynebacterium sp000478175
Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium;Cutibacterium acnes
Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Aureimonas_A;Aureimonas_A sp001425485
Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;Paracoccus
Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;Paracoccus aerius
Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;Paracoccus marcusii
Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;Paracoccus mutanolyticus
Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;Paracoccus sp017315735
Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tabrizicola;Tabrizicola
Bacilli;Bacilli;Bacilli;Bacilli;Bacilli
Bacilli;Exiguobacterales;Exiguobacteraceae;Exiguobacterium;Exiguobacterium profundum_A
Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;Aerococcus
Bacilli;Lactobacillales;Aerococcaceae;Granulicatella;Granulicatella elegans
Bacilli;Lactobacillales;Aerococcaceae;Granulicatella;Granulicatella sp001058355
Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum;Dolosigranulum pigrum
Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus
Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc;Leuconostoc carnosum
Bacilli;Lactobacillales;Lactobacillaceae;Weissella_A;Weissella_A fabalis
Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus
Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus infantis_C
Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus infantis_H
Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus infantis_I
Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mitis_AK
Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mitis_BB
Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mitis_BE
Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mitis_BN
Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mitis_BQ
Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mitis_L
Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mitis_O
Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oralis_V
Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus parasanguinis_A
Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus parasanguinis_F
Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus parasanguinis_H
Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus peroris
