MIC001;MIC002;MIC004;MIC006;MIC007;MIC008;MIC009;MIC010;MIC011;MIC012;MIC0014;MIC015;MIC016;MIC017;MIC018;MIC019;MIC022;MIC025;MIC027;MIC028;MIC029;MIC032;MIC033;MIC034;MIC035;MIC036;MIC037;MIC038;MIC042;MIC043;MIC044;MIC045;MIC046;MIC047;MIC048;MIC050;MIC051;MIC052;MIC053;MIC054;MIC055;MIC056;MIC058;MIC059;MIC060;MIC061;MIC062;MIC063;MIC064;MIC066;MIC067;MIC068;MIC069;MIC071;MIC072;MIC073;MIC074;MIC075;MIC076;MIC077;MIC078;MIC080;MIC081;MIC082;MIC083;MIC084;MIC085;MIC087;MIC088;MIC089;MIC090;TAXONOMY
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0;0;0;7009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;164;unclassified
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium;Abditibacterium utsteinense"
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;8;0;0;0;0;0;0;0;0;0;0;0;62;"Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces graevenitzii"
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;"Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;"
0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;Pauljensenia odontolytica"
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;10;0;0;0;"Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;Pauljensenia odontolytica_C"
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;"Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;Pauljensenia pyogenes_A"
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;Pauljensenia sp000411415"
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;25;0;0;0;0;"Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;Pauljensenia sp000466265"
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;"Actinomycetia;Actinomycetales;Actinomycetaceae;Peptidiphaga;Peptidiphaga sp000466165"
